query,ground_truth_answer,relevant_doc_ids,category
What is the focus of Advanced Micro Devices Inc.'s forward-looking statements in the year 2025?,"In 2025, Advanced Micro Devices Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AMD_2025_10-K_S01684,FIN_AMD_2025_10-K_S01720,FIN_AMD_2025_10-K_S02794,FIN_AMD_2025_10-K_S03616,FIN_AMD_2025_10-K_S04576,FIN_AMD_2025_10-K_S04612,FIN_AMD_2025_10-K_S04882,FIN_AMD_2025_10-K_S04906,FIN_AMD_2025_10-K_S05134,FIN_AMD_2025_10-K_S05530,FIN_AMD_2025_10-K_S05608,FIN_AMD_2025_10-K_S06880,FIN_AMD_2025_10-K_S07150,FIN_AMD_2025_10-K_S07570,FIN_AMD_2025_10-K_S07702,FIN_AMD_2025_10-K_S09394,FIN_AMD_2025_10-K_S09478,FIN_AMD_2025_10-K_S09982",Fact lookup
What is the focus of Apple Inc.'s forward-looking statements in the year 2021?,"In 2021, Apple Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AAPL_2021_10-K_S01354,FIN_AAPL_2021_10-K_S01816,FIN_AAPL_2021_10-K_S02014,FIN_AAPL_2021_10-K_S02548,FIN_AAPL_2021_10-K_S03400,FIN_AAPL_2021_10-K_S03712,FIN_AAPL_2021_10-K_S04936,FIN_AAPL_2021_10-K_S05302,FIN_AAPL_2021_10-K_S06982,FIN_AAPL_2021_10-K_S08182,FIN_AAPL_2021_10-K_S09022",Fact lookup
What is the focus of Microsoft Corp.'s forward-looking statements in the year 2022?,"In 2022, Microsoft Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_MSFT_2022_10-K_S00154,FIN_MSFT_2022_10-K_S00358,FIN_MSFT_2022_10-K_S01270,FIN_MSFT_2022_10-K_S02710,FIN_MSFT_2022_10-K_S02944,FIN_MSFT_2022_10-K_S04432,FIN_MSFT_2022_10-K_S05728,FIN_MSFT_2022_10-K_S06346,FIN_MSFT_2022_10-K_S06526,FIN_MSFT_2022_10-K_S08080,FIN_MSFT_2022_10-K_S08224,FIN_MSFT_2022_10-K_S08404,FIN_MSFT_2022_10-K_S08968,FIN_MSFT_2022_10-K_S09418",Fact lookup
What is the focus of NVIDIA Corp.'s forward-looking statements in the year 2023?,"In 2023, NVIDIA Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_NVDA_2023_10-K_S00388,FIN_NVDA_2023_10-K_S01300,FIN_NVDA_2023_10-K_S01738,FIN_NVDA_2023_10-K_S02146,FIN_NVDA_2023_10-K_S02302,FIN_NVDA_2023_10-K_S02542,FIN_NVDA_2023_10-K_S03658,FIN_NVDA_2023_10-K_S03802,FIN_NVDA_2023_10-K_S04990,FIN_NVDA_2023_10-K_S06430,FIN_NVDA_2023_10-K_S06886,FIN_NVDA_2023_10-K_S07180,FIN_NVDA_2023_10-K_S07186,FIN_NVDA_2023_10-K_S07798,FIN_NVDA_2023_10-K_S08746,FIN_NVDA_2023_10-K_S08764,FIN_NVDA_2023_10-K_S09466",Fact lookup
What is the focus of Alphabet Inc. (Google)'s forward-looking statements in the year 2024?,"In 2024, Alphabet Inc. (Google)'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_GOOGL_2024_10-K_S02962,FIN_GOOGL_2024_10-K_S03256,FIN_GOOGL_2024_10-K_S04192,FIN_GOOGL_2024_10-K_S04894,FIN_GOOGL_2024_10-K_S05806,FIN_GOOGL_2024_10-K_S05866,FIN_GOOGL_2024_10-K_S07132,FIN_GOOGL_2024_10-K_S07144,FIN_GOOGL_2024_10-K_S07966,FIN_GOOGL_2024_10-K_S08050",Fact lookup
What is the focus of Advanced Micro Devices Inc.'s forward-looking statements in the year 2025?,"In 2025, Advanced Micro Devices Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AMD_2025_10-K_S01684,FIN_AMD_2025_10-K_S01720,FIN_AMD_2025_10-K_S02794,FIN_AMD_2025_10-K_S03616,FIN_AMD_2025_10-K_S04576,FIN_AMD_2025_10-K_S04612,FIN_AMD_2025_10-K_S04882,FIN_AMD_2025_10-K_S04906,FIN_AMD_2025_10-K_S05134,FIN_AMD_2025_10-K_S05530,FIN_AMD_2025_10-K_S05608,FIN_AMD_2025_10-K_S06880,FIN_AMD_2025_10-K_S07150,FIN_AMD_2025_10-K_S07570,FIN_AMD_2025_10-K_S07702,FIN_AMD_2025_10-K_S09394,FIN_AMD_2025_10-K_S09478,FIN_AMD_2025_10-K_S09982",Fact lookup
What is the focus of Apple Inc.'s forward-looking statements in the year 2021?,"In 2021, Apple Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AAPL_2021_10-K_S01354,FIN_AAPL_2021_10-K_S01816,FIN_AAPL_2021_10-K_S02014,FIN_AAPL_2021_10-K_S02548,FIN_AAPL_2021_10-K_S03400,FIN_AAPL_2021_10-K_S03712,FIN_AAPL_2021_10-K_S04936,FIN_AAPL_2021_10-K_S05302,FIN_AAPL_2021_10-K_S06982,FIN_AAPL_2021_10-K_S08182,FIN_AAPL_2021_10-K_S09022",Fact lookup
What is the tax rate mentioned in NVIDIA's forward-looking statement for 2025?,The tax rate mentioned in NVIDIA's 2025 forward-looking statement is a random integer between 18% and 25%.,"FIN_NVDA_2025_10-K_S01210,FIN_NVDA_2025_10-K_S01552,FIN_NVDA_2025_10-K_S01726,FIN_NVDA_2025_10-K_S03190,FIN_NVDA_2025_10-K_S03370,FIN_NVDA_2025_10-K_S03964,FIN_NVDA_2025_10-K_S04066,FIN_NVDA_2025_10-K_S04090,FIN_NVDA_2025_10-K_S04636,FIN_NVDA_2025_10-K_S05248,FIN_NVDA_2025_10-K_S05272,FIN_NVDA_2025_10-K_S05734,FIN_NVDA_2025_10-K_S05902,FIN_NVDA_2025_10-K_S05950,FIN_NVDA_2025_10-K_S06016",Numerical questions
What is the R&D expenditure for AMD in 2024?,Research and Development expenses for AMD in 2024 are estimated based on its revenue.,"FIN_AMD_2024_10-K_S01291,FIN_AMD_2024_10-K_S01621,FIN_AMD_2024_10-K_S02191,FIN_AMD_2024_10-K_S02845,FIN_AMD_2024_10-K_S03931,FIN_AMD_2024_10-K_S04135,FIN_AMD_2024_10-K_S04237,FIN_AMD_2024_10-K_S04267,FIN_AMD_2024_10-K_S04345,FIN_AMD_2024_10-K_S04477,FIN_AMD_2024_10-K_S04957,FIN_AMD_2024_10-K_S05677,FIN_AMD_2024_10-K_S06541,FIN_AMD_2024_10-K_S06559,FIN_AMD_2024_10-K_S07315,FIN_AMD_2024_10-K_S07513,FIN_AMD_2024_10-K_S08215,FIN_AMD_2024_10-K_S09799",Numerical questions
What is the average projected revenue for Apple Inc. in the 2022 filings?,The projected revenue for Apple Inc. in 2022 is around $408.24 billion.,"FIN_AAPL_2022_10-K_S00343,FIN_AAPL_2022_10-K_S02149,FIN_AAPL_2022_10-K_S02875,FIN_AAPL_2022_10-K_S04297,FIN_AAPL_2022_10-K_S04663,FIN_AAPL_2022_10-K_S04747,FIN_AAPL_2022_10-K_S07837,FIN_AAPL_2022_10-K_S07963,FIN_AAPL_2022_10-K_S09547",Numerical questions
What is the average projected revenue for Apple Inc. in the 2023 filings?,The projected revenue for Apple Inc. in 2023 is around $440.90 billion.,"FIN_AAPL_2023_10-K_S00763,FIN_AAPL_2023_10-K_S01117,FIN_AAPL_2023_10-K_S01267,FIN_AAPL_2023_10-K_S04417,FIN_AAPL_2023_10-K_S05203,FIN_AAPL_2023_10-K_S05515,FIN_AAPL_2023_10-K_S06115,FIN_AAPL_2023_10-K_S07213,FIN_AAPL_2023_10-K_S08035,FIN_AAPL_2023_10-K_S08371",Numerical questions
What is the average projected revenue for Apple Inc. in the 2024 filings?,The projected revenue for Apple Inc. in 2024 is around $476.17 billion.,"FIN_AAPL_2024_10-K_S00805,FIN_AAPL_2024_10-K_S01177,FIN_AAPL_2024_10-K_S02575,FIN_AAPL_2024_10-K_S04423,FIN_AAPL_2024_10-K_S04693,FIN_AAPL_2024_10-K_S06013,FIN_AAPL_2024_10-K_S06295,FIN_AAPL_2024_10-K_S06775,FIN_AAPL_2024_10-K_S07075,FIN_AAPL_2024_10-K_S07249,FIN_AAPL_2024_10-K_S07309,FIN_AAPL_2024_10-K_S08773,FIN_AAPL_2024_10-K_S09283",Numerical questions
What is the average projected revenue for Apple Inc. in the 2025 filings?,The projected revenue for Apple Inc. in 2025 is around $514.26 billion.,"FIN_AAPL_2025_10-K_S00223,FIN_AAPL_2025_10-K_S00991,FIN_AAPL_2025_10-K_S01417,FIN_AAPL_2025_10-K_S02353,FIN_AAPL_2025_10-K_S02587,FIN_AAPL_2025_10-K_S04315,FIN_AAPL_2025_10-K_S04501,FIN_AAPL_2025_10-K_S05227,FIN_AAPL_2025_10-K_S05251,FIN_AAPL_2025_10-K_S05443,FIN_AAPL_2025_10-K_S05761,FIN_AAPL_2025_10-K_S07675,FIN_AAPL_2025_10-K_S08071,FIN_AAPL_2025_10-K_S08389,FIN_AAPL_2025_10-K_S09121,FIN_AAPL_2025_10-K_S09367",Numerical questions
What is the average projected revenue for Microsoft Corp. in the 2022 filings?,The projected revenue for Microsoft Corp. in 2022 is around $238.05 billion.,"FIN_MSFT_2022_10-K_S01195,FIN_MSFT_2022_10-K_S01351,FIN_MSFT_2022_10-K_S01765,FIN_MSFT_2022_10-K_S02623,FIN_MSFT_2022_10-K_S03577,FIN_MSFT_2022_10-K_S04759,FIN_MSFT_2022_10-K_S05335,FIN_MSFT_2022_10-K_S05509,FIN_MSFT_2022_10-K_S06661,FIN_MSFT_2022_10-K_S06727,FIN_MSFT_2022_10-K_S07087,FIN_MSFT_2022_10-K_S09745",Numerical questions
What is the average projected revenue for Microsoft Corp. in the 2023 filings?,The projected revenue for Microsoft Corp. in 2023 is around $273.76 billion.,"FIN_MSFT_2023_10-K_S01651,FIN_MSFT_2023_10-K_S01789,FIN_MSFT_2023_10-K_S01885,FIN_MSFT_2023_10-K_S02491,FIN_MSFT_2023_10-K_S02677,FIN_MSFT_2023_10-K_S04645,FIN_MSFT_2023_10-K_S04765,FIN_MSFT_2023_10-K_S05587,FIN_MSFT_2023_10-K_S07891,FIN_MSFT_2023_10-K_S08245,FIN_MSFT_2023_10-K_S09241,FIN_MSFT_2023_10-K_S09355,FIN_MSFT_2023_10-K_S09409,FIN_MSFT_2023_10-K_S09823,FIN_MSFT_2023_10-K_S09895",Numerical questions
What is the average projected revenue for Microsoft Corp. in the 2024 filings?,The projected revenue for Microsoft Corp. in 2024 is around $314.82 billion.,"FIN_MSFT_2024_10-K_S00529,FIN_MSFT_2024_10-K_S01441,FIN_MSFT_2024_10-K_S03529,FIN_MSFT_2024_10-K_S03865,FIN_MSFT_2024_10-K_S03955,FIN_MSFT_2024_10-K_S05905,FIN_MSFT_2024_10-K_S06841,FIN_MSFT_2024_10-K_S06871,FIN_MSFT_2024_10-K_S06925,FIN_MSFT_2024_10-K_S06937,FIN_MSFT_2024_10-K_S06943,FIN_MSFT_2024_10-K_S07237,FIN_MSFT_2024_10-K_S08275,FIN_MSFT_2024_10-K_S08443",Numerical questions
What is the average projected revenue for Microsoft Corp. in the 2025 filings?,The projected revenue for Microsoft Corp. in 2025 is around $362.04 billion.,"FIN_MSFT_2025_10-K_S00001,FIN_MSFT_2025_10-K_S00817,FIN_MSFT_2025_10-K_S01243,FIN_MSFT_2025_10-K_S02293,FIN_MSFT_2025_10-K_S03511,FIN_MSFT_2025_10-K_S03961,FIN_MSFT_2025_10-K_S04351,FIN_MSFT_2025_10-K_S05971,FIN_MSFT_2025_10-K_S06529,FIN_MSFT_2025_10-K_S07069,FIN_MSFT_2025_10-K_S07159,FIN_MSFT_2025_10-K_S07867,FIN_MSFT_2025_10-K_S08017,FIN_MSFT_2025_10-K_S08203,FIN_MSFT_2025_10-K_S09037",Numerical questions
What is the average projected revenue for NVIDIA Corp. in the 2022 filings?,The projected revenue for NVIDIA Corp. in 2022 is around $64.00 billion.,"FIN_NVDA_2022_10-K_S00427,FIN_NVDA_2022_10-K_S01081,FIN_NVDA_2022_10-K_S01963,FIN_NVDA_2022_10-K_S03727,FIN_NVDA_2022_10-K_S03739,FIN_NVDA_2022_10-K_S04867,FIN_NVDA_2022_10-K_S05653,FIN_NVDA_2022_10-K_S05815,FIN_NVDA_2022_10-K_S07711,FIN_NVDA_2022_10-K_S08341,FIN_NVDA_2022_10-K_S08935,FIN_NVDA_2022_10-K_S09079,FIN_NVDA_2022_10-K_S09499,FIN_NVDA_2022_10-K_S09997",Numerical questions
What is the average projected revenue for NVIDIA Corp. in the 2023 filings?,The projected revenue for NVIDIA Corp. in 2023 is around $102.40 billion.,"FIN_NVDA_2023_10-K_S00925,FIN_NVDA_2023_10-K_S03799,FIN_NVDA_2023_10-K_S04105,FIN_NVDA_2023_10-K_S05077,FIN_NVDA_2023_10-K_S05269,FIN_NVDA_2023_10-K_S05881,FIN_NVDA_2023_10-K_S07141,FIN_NVDA_2023_10-K_S07327,FIN_NVDA_2023_10-K_S07399,FIN_NVDA_2023_10-K_S09343",Numerical questions
What is the average projected revenue for NVIDIA Corp. in the 2024 filings?,The projected revenue for NVIDIA Corp. in 2024 is around $163.84 billion.,"FIN_NVDA_2024_10-K_S00157,FIN_NVDA_2024_10-K_S00349,FIN_NVDA_2024_10-K_S01201,FIN_NVDA_2024_10-K_S01645,FIN_NVDA_2024_10-K_S01771,FIN_NVDA_2024_10-K_S01939,FIN_NVDA_2024_10-K_S02113,FIN_NVDA_2024_10-K_S02299,FIN_NVDA_2024_10-K_S04441,FIN_NVDA_2024_10-K_S06535,FIN_NVDA_2024_10-K_S06595,FIN_NVDA_2024_10-K_S07153,FIN_NVDA_2024_10-K_S08539,FIN_NVDA_2024_10-K_S09109,FIN_NVDA_2024_10-K_S09559",Numerical questions
What is the average projected revenue for NVIDIA Corp. in the 2025 filings?,The projected revenue for NVIDIA Corp. in 2025 is around $262.14 billion.,"FIN_NVDA_2025_10-K_S00511,FIN_NVDA_2025_10-K_S02089,FIN_NVDA_2025_10-K_S02287,FIN_NVDA_2025_10-K_S04081,FIN_NVDA_2025_10-K_S04123,FIN_NVDA_2025_10-K_S04975,FIN_NVDA_2025_10-K_S05209,FIN_NVDA_2025_10-K_S06103,FIN_NVDA_2025_10-K_S06889,FIN_NVDA_2025_10-K_S07093,FIN_NVDA_2025_10-K_S08695,FIN_NVDA_2025_10-K_S08701,FIN_NVDA_2025_10-K_S09625",Numerical questions
What is the average projected revenue for Alphabet Inc. (Google) in the 2022 filings?,The projected revenue for Alphabet Inc. (Google) in 2022 is around $301.06 billion.,"FIN_GOOGL_2022_10-K_S00415,FIN_GOOGL_2022_10-K_S00553,FIN_GOOGL_2022_10-K_S00637,FIN_GOOGL_2022_10-K_S01855,FIN_GOOGL_2022_10-K_S02467,FIN_GOOGL_2022_10-K_S02809,FIN_GOOGL_2022_10-K_S02887,FIN_GOOGL_2022_10-K_S05977,FIN_GOOGL_2022_10-K_S06211,FIN_GOOGL_2022_10-K_S06277,FIN_GOOGL_2022_10-K_S06313,FIN_GOOGL_2022_10-K_S06403,FIN_GOOGL_2022_10-K_S06625,FIN_GOOGL_2022_10-K_S07789,FIN_GOOGL_2022_10-K_S07969,FIN_GOOGL_2022_10-K_S09511",Numerical questions
